ImageName,Parsed Arithemetic Expression,Evaluation
img_1.jpg,4-16/4*5,-16.0
img_8.jpg,2*3-56,-50.0
img_14.jpg,75%52+55,78.0
img_9.jpg,1024/15,68.27
img_6.jpg,6+9-93-80,-158.0
img_7.jpg,93-23/108,92.79
img_15.jpg,4+29-4,29.0
img_3.jpg,3*0+75*8,600.0
img_4.jpg,2+41/7,7.86
img_2.jpg,5+34/6-4*3+2,0.67
img_13.jpg,73-91%5+4,76.0
img_12.jpg,63+9*42/10,100.8
img_16.jpg,3%2+4*7-9,20.0
img_24.jpg,26/3-69/23,5.67
img_31.jpg,1/43*2,0.05
img_18.jpg,15*51-151,614.0
img_34.jpg,44-1*2142,-2098.0
img_26.jpg,35+74,109
img_29.jpg,++6/2,3.0
img_28.jpg,63/3+5,26.0
img_27.jpg,23-2*,
img_36.jpg,0+0-0*0*0,0
img_22.jpg,293%7-86,-80.0
img_21.jpg,6/2*1+2,5.0
img_17.jpg,999245/8,124905.62
img_38.jpg,144+144*144,20880.0
img_42.jpg,12*19+1/54,228.0185185185185
img_20.jpg,2*8+3-8,11.0
img_32.jpg,11111/1,11111.0
img_33.jpg,17+2571,2588.0
img_60.jpg,12/14*13,11.14
img_74.jpg,81+95,176.0
img_46.jpg,54/1245,0.04
img_65.jpg,23-3+1,21.0
img_43.jpg,23-89/3,-6.67
img_47.jpg,19+129*1/2,83.5
img_54.jpg,4+7232/2,3620.0
img_56.jpg,+/23,
img_67.jpg,[],
img_64.jpg,[],
img_49.jpg,4/5+23/72,1.12
img_55.jpg,8881-86,8795.0
img_75.jpg,3-++5,-2.0
img_44.jpg,9*8/7-789,-778.71
img_57.jpg,72*1++8,80.0
img_70.jpg,9+14,23.0
img_51.jpg,31+4234646,4234677.0
img_45.jpg,24,24
img_48.jpg,34*65+72,2282.0
img_68.jpg,334,334.0
img_66.jpg,52+3,55.0
img_63.jpg,[],
img_59.jpg,5,5
img_73.jpg,10,10
img_71.jpg,6549-4,6545.0
img_77.jpg,27*3+2-+,
img_78.jpg,+0+,
img_53.jpg,7-7+72*51,3672.0
img_79.jpg,88*71+2,6250.0
img_84.jpg,13/1*33,429.0
img_80.jpg,7/2-5,-1.5
img_83.jpg,555/5,111.0
img_82.jpg,[],
img_72.jpg,25+64,89.0
